Date,EndVal,ChgVal,ChgPer
2025-10-27,101600,2800,2.83
2025-10-24,98800,2300,2.38
2025-10-23,96500,-2100,-2.13
2025-10-22,98600,1100,1.13
2025-10-21,97500,-600,-0.61
2025-10-20,98100,200,0.2
2025-10-17,97900,200,0.2
2025-10-16,97700,2700,2.84
2025-10-15,95000,3400,3.71
2025-10-14,91600,-1700,-1.82
2025-10-13,93300,-1100,-1.17
2025-10-10,94400,5400,6.07
2025-10-02,89000,3000,3.49
2025-10-01,86000,2100,2.5
2025-09-30,83900,-300,-0.36
2025-09-29,84200,900,1.08
2025-09-26,83300,-2800,-3.25
2025-09-25,86100,700,0.82
2025-09-24,85400,700,0.83
2025-09-23,84700,1200,1.44
2025-09-22,83500,3800,4.77
2025-09-19,79700,-800,-0.99
2025-09-18,80500,2300,2.94
2025-09-17,78200,-1200,-1.51
2025-09-16,79400,2900,3.79
2025-09-15,76500,1100,1.46
2025-09-12,75400,2000,2.72
2025-09-11,73400,800,1.1
2025-09-10,72600,1100,1.54
2025-09-09,71500,1400,2
2025-09-08,70100,600,0.86
2025-09-05,69500,-600,-0.86
2025-09-04,70100,300,0.43
2025-09-03,69800,700,1.01
2025-09-02,69100,1500,2.22
2025-09-01,67600,-2100,-3.01
2025-08-29,69700,100,0.14
2025-08-28,69600,-1000,-1.42
2025-08-27,70600,300,0.43
2025-08-26,70300,-1200,-1.68
2025-08-25,71500,100,0.14
2025-08-22,71400,800,1.13
2025-08-21,70600,100,0.14
2025-08-20,70500,500,0.71
2025-08-19,70000,0,0
2025-08-18,70000,-1600,-2.23
2025-08-14,71600,-300,-0.42
2025-08-13,71900,800,1.13
2025-08-12,71100,100,0.14
2025-08-11,71000,-800,-1.11
2025-08-08,71800,1300,1.84
2025-08-07,70500,1700,2.47
2025-08-06,68800,-1100,-1.57
2025-08-05,69900,200,0.29
2025-08-04,69700,800,1.16
2025-08-01,68900,-2500,-3.5
2025-07-31,71400,-1200,-1.65
2025-07-30,72600,2000,2.83
2025-07-29,70600,200,0.28
2025-07-28,70400,4500,6.83
2025-07-25,65900,-100,-0.15
2025-07-24,66000,-400,-0.6
2025-07-23,66400,400,0.61
2025-07-22,66000,-1800,-2.65
2025-07-21,67800,700,1.04
2025-07-18,67100,400,0.6
2025-07-17,66700,2000,3.09
2025-07-16,64700,1000,1.57
2025-07-15,63700,1200,1.92
2025-07-14,62500,-100,-0.16
2025-07-11,62600,1600,2.62
2025-07-10,61000,600,0.99
2025-07-09,60400,-1000,-1.63
2025-07-08,61400,-300,-0.49
2025-07-07,61700,-1600,-2.53
2025-07-04,63300,-500,-0.78
2025-07-03,63800,3000,4.93
2025-07-02,60800,600,1
2025-07-01,60200,400,0.67
2025-06-30,59800,-1000,-1.64
2025-06-27,60800,600,1
2025-06-26,60200,-1100,-1.79
2025-06-25,61300,800,1.32
2025-06-24,60500,2500,4.31
2025-06-23,58000,-1500,-2.52
2025-06-20,59500,300,0.51
2025-06-19,59200,-600,-1
2025-06-18,59800,1700,2.93
2025-06-17,58100,900,1.57
2025-06-16,57200,-1100,-1.89
2025-06-13,58300,-1200,-2.02
2025-06-12,59500,-400,-0.67
2025-06-11,59900,700,1.18
2025-06-10,59200,-600,-1
2025-06-09,59800,700,1.18
2025-06-05,59100,1300,2.25
2025-06-04,57800,1000,1.76
2025-06-02,56800,600,1.07
2025-05-30,56200,100,0.18
2025-05-29,56100,200,0.36
2025-05-28,55900,2000,3.71
2025-05-27,53900,-800,-1.46
2025-05-26,54700,500,0.92
2025-05-23,54200,-500,-0.91
2025-05-22,54700,-1000,-1.8
2025-05-21,55700,-200,-0.36
2025-05-20,55900,100,0.18
2025-05-19,55800,-1000,-1.76
2025-05-16,56800,-500,-0.87
2025-05-15,57300,-100,-0.17
2025-05-14,57400,500,0.88
2025-05-13,56900,-700,-1.22
2025-05-12,57600,2800,5.11
2025-05-09,54800,200,0.37
2025-05-08,54600,0,0
2025-05-07,54600,300,0.55
2025-05-02,54300,-1200,-2.16
2025-04-30,55500,-300,-0.54
2025-04-29,55800,0,0
2025-04-28,55800,100,0.18
2025-04-25,55700,0,0
2025-04-24,55700,0,0
2025-04-23,55700,700,1.27
2025-04-22,55000,-400,-0.72
2025-04-21,55400,100,0.18
2025-04-18,55300,200,0.36
2025-04-17,55100,400,0.73
2025-04-16,54700,-1900,-3.36
2025-04-15,56600,400,0.71
2025-04-14,56200,1000,1.81
2025-04-11,55200,-1200,-2.13
2025-04-10,56400,3400,6.42
2025-04-09,53000,-500,-0.93
2025-04-08,53500,300,0.56
2025-04-07,53200,-2900,-5.17
2025-04-04,56100,-1500,-2.6
2025-04-03,57600,-1200,-2.04
2025-04-02,58800,0,0
2025-04-01,58800,1000,1.73
2025-03-31,57800,-2400,-3.99
2025-03-28,60200,-1600,-2.59
2025-03-27,61800,400,0.65
2025-03-26,61400,1600,2.68
2025-03-25,59800,-700,-1.16
2025-03-24,60500,-1200,-1.94
2025-03-21,61700,1500,2.49
2025-03-20,60200,1700,2.91
2025-03-19,58500,900,1.56
2025-03-18,57600,0,0
2025-03-17,57600,2900,5.3
2025-03-14,54700,0,0
2025-03-13,54700,-200,-0.36
2025-03-12,54900,1300,2.43
2025-03-11,53600,-100,-0.19
2025-03-10,53700,0,0
2025-03-07,53700,-600,-1.1
2025-03-06,54300,300,0.56
2025-03-05,54000,-500,-0.92
2025-03-04,54500,0,0
2025-02-28,54500,-1800,-3.2
2025-02-27,56300,-300,-0.53
2025-02-26,56600,-600,-1.05
2025-02-25,57200,-100,-0.17
2025-02-24,57300,-900,-1.55
2025-02-21,58200,-200,-0.34
2025-02-20,58400,-300,-0.51
2025-02-19,58700,1800,3.16
2025-02-18,56900,900,1.61
2025-02-17,56000,0,0
2025-02-14,56000,200,0.36
2025-02-13,55800,0,0
2025-02-12,55800,100,0.18
2025-02-11,55700,100,0.18
2025-02-10,55600,1900,3.54
2025-02-07,53700,-300,-0.56
2025-02-06,54000,1100,2.08
2025-02-05,52900,200,0.38
2025-02-04,52700,1700,3.33
2025-02-03,51000,-1400,-2.67
2025-01-31,52400,-1300,-2.42
2025-01-24,53700,0,0
2025-01-23,53700,-600,-1.1
2025-01-22,54300,800,1.5
2025-01-21,53500,100,0.19
2025-01-20,53400,-300,-0.56
2025-01-17,53700,-600,-1.1
2025-01-16,54300,600,1.12
2025-01-15,53700,-200,-0.37
2025-01-14,53900,-200,-0.37
2025-01-13,54100,-1200,-2.17
2025-01-10,55300,-800,-1.43
2025-01-09,56100,-1200,-2.09
2025-01-08,57300,1900,3.43
2025-01-07,55400,-500,-0.89
2025-01-06,55900,1500,2.76
2025-01-03,54400,1000,1.87
2025-01-02,53400,200,0.38
2024-12-30,53200,-500,-0.93
2024-12-27,53700,100,0.19
2024-12-26,53600,-800,-1.47
2024-12-24,54400,900,1.68
2024-12-23,53500,500,0.94
2024-12-20,53000,-100,-0.19
2024-12-19,53100,-1800,-3.28
2024-12-18,54900,700,1.29
2024-12-17,54200,-1400,-2.52
2024-12-16,55600,-500,-0.89
2024-12-13,56100,200,0.36
2024-12-12,55900,1900,3.52
2024-12-11,54000,0,0
2024-12-10,54000,600,1.12
2024-12-09,53400,-700,-1.29
2024-12-06,54100,400,0.74
2024-12-05,53700,600,1.13
2024-12-04,53100,-500,-0.93
2024-12-03,53600,0,0
2024-12-02,53600,-600,-1.11
2024-11-29,54200,-1300,-2.34
2024-11-28,55500,-800,-1.42
2024-11-27,56300,-2000,-3.43
2024-11-26,58300,400,0.69
2024-11-25,57900,1900,3.39
2024-11-22,56000,-400,-0.71
2024-11-21,56400,1100,1.99
2024-11-20,55300,-1000,-1.78
2024-11-19,56300,-400,-0.71
2024-11-18,56700,3200,5.98
2024-11-15,53500,3600,7.21
2024-11-14,49900,-700,-1.38
2024-11-13,50600,-2400,-4.53
2024-11-12,53000,-2000,-3.64
2024-11-11,55000,-2000,-3.51
2024-11-08,57000,-500,-0.87
2024-11-07,57500,200,0.35
2024-11-06,57300,-300,-0.52
2024-11-05,57600,-1100,-1.87
2024-11-04,58700,400,0.69
2024-11-01,58300,-900,-1.52
2024-10-31,59200,100,0.17
2024-10-30,59100,-500,-0.84
2024-10-29,59600,1500,2.58
2024-10-28,58100,2200,3.94
2024-10-25,55900,-700,-1.24
